anno,area,scopo,notti
2019,ITF1,TRIP,8748000
2019,ITF2,HOL,4275000
2019,ITF2,HOLL,4126000
2019,ITF2,HOLS,149000
2019,ITF2,TRIP,4281000
2019,ITF3,BUS,744000
2019,ITF3,HOL,15026000
2019,ITF3,HOLL,13204000
2019,ITF3,HOLS,1823000
2019,ITF3,TRIP,15770000
2019,ITF4,BUS,573000
2019,ITF4,HOL,26421000
2019,ITF4,HOLL,24643000
2019,ITF4,HOLS,1778000
2019,ITF4,TRIP,26994000
2019,ITF5,HOL,3238000
2019,ITF5,HOLL,2477000
2019,ITF5,HOLS,761000
2019,ITF5,TRIP,3350000
2019,ITF6,BUS,265000
2019,ITF6,HOL,14690000
2019,ITF6,HOLL,13704000
2019,ITF6,HOLS,986000
2019,ITF6,TRIP,14955000
2019,ITG1,BUS,2202000
2019,ITG1,HOL,13773000
2019,ITG1,HOLL,12498000
2019,ITG1,HOLS,1275000
2019,ITG1,TRIP,15976000
2019,ITG2,BUS,521000
2019,ITG2,HOL,11135000
2019,ITG2,HOLL,10387000
2019,ITG2,HOLS,748000
2019,ITG2,TRIP,11656000
2020,IT,BUS,6596000
2020,IT,HOL,196077000
2020,IT,HOLL,167432000
2020,IT,HOLS,28645000
2020,IT,TRIP,202673000
2020,ITC1,BUS,294000
2020,ITC1,HOL,4525000
2020,ITC1,HOLL,3000000
2020,ITC1,HOLS,1525000
2020,ITC1,TRIP,4819000
2020,ITC2,BUS,0
2020,ITC2,HOL,1796000
2020,ITC2,HOLL,1435000
2020,ITC2,HOLS,361000
2020,ITC2,TRIP,1796000
2020,ITC3,BUS,468000
2020,ITC3,HOL,9099000
2020,ITC3,HOLL,7493000
2020,ITC3,HOLS,1606000
2020,ITC3,TRIP,9567000
2020,ITC4,BUS,1251000
2020,ITC4,HOL,13150000
2020,ITC4,HOLL,10541000
2020,ITC4,HOLS,2609000
2020,ITC4,TRIP,14400000
2020,ITD1,BUS,71000
2020,ITD1,HOL,7598000
2020,ITD1,HOLL,6710000
2020,ITD1,HOLS,888000
2020,ITD1,TRIP,7669000
2020,ITD2,BUS,0
2020,ITD2,HOL,10490000
2020,ITD2,HOLL,8347000
2020,ITD2,HOLS,2144000
2020,ITD2,TRIP,10490000
2020,ITD3,BUS,600000
2020,ITD3,HOL,12539000
2020,ITD3,HOLL,9575000
2020,ITD3,HOLS,2964000
2020,ITD3,TRIP,13140000
2020,ITD4,HOL,2372000
2020,ITD4,HOLL,2012000
2020,ITD4,HOLS,360000
2020,ITD4,TRIP,2426000
2020,ITD5,BUS,455000
2020,ITD5,HOL,18453000
2020,ITD5,HOLL,15104000
2020,ITD5,HOLS,3349000
2020,ITD5,TRIP,18908000
2020,ITE1,BUS,733000
2020,ITE1,HOL,22489000
2020,ITE1,HOLL,18903000
2020,ITE1,HOLS,3586000
2020,ITE1,TRIP,23222000
2020,ITE2,HOL,1646000
2020,ITE2,HOLL,927000
2020,ITE2,HOLS,719000
2020,ITE2,TRIP,1701000
2020,ITE3,BUS,511000
2020,ITE3,HOL,7648000
2020,ITE3,HOLL,6588000
2020,ITE3,HOLS,1060000
2020,ITE3,TRIP,8159000
2020,ITE4,BUS,621000
2020,ITE4,HOL,6573000
2020,ITE4,HOLL,4142000
2020,ITE4,HOLS,2431000
2020,ITE4,TRIP,7195000
2020,ITF1,HOL,5180000
2020,ITF1,HOLL,4546000
2020,ITF1,HOLS,634000
2020,ITF1,TRIP,5378000
2020,ITF2,HOL,1245000
2020,ITF2,HOLL,1070000
2020,ITF2,HOLS,175000
2020,ITF2,TRIP,1341000
2020,ITF3,BUS,221000
2020,ITF3,HOL,13807000
2020,ITF3,HOLL,12612000
2020,ITF3,HOLS,1195000
2020,ITF3,TRIP,14028000
2020,ITF4,BUS,367000
2020,ITF4,HOL,21051000
2020,ITF4,HOLL,20122000
2020,ITF4,HOLS,929000
2020,ITF4,TRIP,21418000
2020,ITF5,HOL,1609000
2020,ITF5,HOLL,1494000
2020,ITF5,HOLS,115000
2020,ITF5,TRIP,1838000
2020,ITF6,BUS,175000
2020,ITF6,HOL,10140000
2020,ITF6,HOLL,10021000
2020,ITF6,HOLS,119000
2020,ITF6,TRIP,10315000
2020,ITG1,BUS,129000
2020,ITG1,HOL,12436000
