anno,sigla_provincia,comune,cod_istat,ambito,arrivi_italiani,arrivi_stranieri,presenze_italiane,presenze_straniere
2019,AR,Anghiari,51001,Val tiberina,6485,2423,13112,11142
2019,AR,Arezzo,51002,Arezzo,141252,105132,252913,213406
2019,AR,Badia Tedalda,51003,Val tiberina,795,200,3392,1177
2019,AR,Bibbiena,51004,Casentino,7470,1576,17604,7461
2019,AR,Bucine,51005,Valdarno aretino,4021,12720,18109,81710
2019,AR,Capolona,51006,Arezzo,284,828,615,6286
2019,AR,Caprese Michelangelo,51007,Val tiberina,694,636,1698,2730
2019,AR,Castel Focognano,51008,Casentino,62,200,155,1627
2019,AR,Castel San Niccol?,51010,Casentino,503,847,1133,4525
2019,AR,Castelfranco Piandisco,51040,Valdarno aretino,649,1478,2388,10166
2019,AR,Castiglion Fibocchi,51011,Arezzo,274,853,1108,5162
2019,AR,Castiglion Fiorentino,51012,Valdichiana Aretina,12038,21356,25259,68815
2019,AR,Cavriglia,51013,Valdarno aretino,5744,9051,18435,58340
2019,AR,Chitignano,51014,Casentino,430,50,1610,134
2019,AR,Chiusi della Verna,51015,Casentino,7592,3063,16644,4514
2019,AR,Civitella in Val di Chiana,51016,Valdichiana Aretina,4185,2240,8254,11479
2019,AR,Cortona,51017,Valdichiana Aretina,24457,31521,49099,146710
2019,AR,Foiano della Chiana,51018,Valdichiana Aretina,5182,4255,9435,13625
2019,AR,Laterina Pergine Valdarno,51042,Valdarno aretino,7671,7746,15251,24081
2019,AR,Loro Ciuffenna,51020,Valdarno aretino,2684,11230,5708,48842
2019,AR,Lucignano,51021,Valdichiana Aretina,1321,1811,3883,12324
2019,AR,Marciano della Chiana,51022,Valdichiana Aretina,308,437,1485,2106
2019,AR,Monte San Savino,51025,Valdichiana Aretina,7324,4585,12613,17636
2019,AR,Montemignaio,51023,Casentino,467,893,5855,3219
2019,AR,Monterchi,51024,Val tiberina,88,163,305,1238
2019,AR,Montevarchi,51026,Valdarno aretino,13690,7373,22553,19023
2019,AR,Ortignano Raggiolo,51027,Casentino,764,728,2362,4536
2019,AR,Pieve Santo Stefano,51030,Val tiberina,6085,2773,12255,6884
2019,AR,Poppi,51031,Casentino,17369,6648,40825,26409
2019,AR,Pratovecchio Stia,51041,Casentino,4021,1928,10265,8938
2019,AR,San Giovanni Valdarno,51033,Valdarno aretino,1332,764,4752,5171
2019,AR,Sansepolcro,51034,Val tiberina,22426,8248,44224,24400
2019,AR,Sestino,51035,Val tiberina,108,101,269,1816
2019,AR,Subbiano,51037,Casentino,4776,3158,9200,14570
2019,AR,Talla,51038,Casentino,844,40,3492,235
2019,AR,Terranuova Bracciolini,51039,Valdarno aretino,21537,11661,44235,25531
2019,FI,Bagno a Ripoli,48001,Firenze e area fiorentina,12003,19953,47502,86033
2019,FI,Barberino Tavarnelle,48054,Chianti,22094,55219,58162,248541
2019,FI,Barberino di Mugello,48002,Mugello,30976,14547,66559,36305
2019,FI,Borgo San Lorenzo,48004,Mugello,13549,13685,27604,42860
2019,FI,Calenzano,48005,Firenze e area fiorentina,63855,97618,151787,174607
2019,FI,Campi Bisenzio,48006,Firenze e area fiorentina,46193,57497,131733,125738
2019,FI,Capraia e Limite,48008,Empolese/Valdelsa,3360,2302,20394,15766
2019,FI,Castelfiorentino,48010,Empolese/Valdelsa,4093,4857,13415,27770
2019,FI,Cerreto Guidi,48011,Empolese/Valdelsa,1821,2163,9470,17843
2019,FI,Certaldo,48012,Empolese/Valdelsa,8870,17696,22194,80862
2019,FI,Dicomano,48013,Mugello,874,1919,2725,14590
